stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code,zone_id
2614,Hamilton / Cortland (NB),42.3937027,-83.1001139,0,2614,standard
8871,Greenfield / Diversey (NB),42.3485063,-83.1963515,0,8871,standard
10996,Manchester / Brush (WB),42.4093418,-83.0923247,0,10996,standard
7989,Newburgh / Heather Ridge (NB),42.3411792,-83.4092331,0,7989,standard
8634,Lahser / Eight-and-a-Half Mile (NB),42.4498081,-83.2596141,0,8634,standard
10492,Oakwood / Culver (WB),42.2940324,-83.217026,0,10492,standard
6390,Eight Mile / Llewelyn (WB),42.438534,-83.4504104,0,6390,standard
2797,North Park / Providence (WB),42.4561884,-83.207016,0,2797,standard
8391,Telegraph / Northwestern (NB),42.4964346,-83.2846928,0,8391,standard
11179,Dalcoma / Virginia (SB),42.6238547,-82.963171,0,11179,standard
4018,Jefferson / Martin (SB),42.5011808,-82.8844643,0,4018,standard
879,Woodward / Square Lake (NB),42.6041628,-83.2642865,0,879,standard
6480,Twelve Mile / Sherry (EB),42.5042181,-83.1225586,0,6480,standard
7952,Goddard / Wayne (WB),42.2232262,-83.3857799,0,7952,standard
12618,Hoover / Robinwood (NB),42.5168485,-83.0072451,0,12618,standard
9575,Hayes / Coram (NB),42.4382173,-82.965467,0,9575,standard
6994,Fourteen Mile / Ferris (EB),42.5335716,-83.1326866,0,6994,standard
7916,Ford / Henry Ruff (WB),42.3254755,-83.3409762,0,7916,standard
12750,Commerce / Blossom (EB),42.5886197,-83.4018731,0,12750,standard
3178,Third / Ferry (SB),42.358758,-83.0738282,0,3178,standard
6173,Greater Mack / Rosedale (SB),42.4557293,-82.9026604,0,6173,standard
12267,Gratiot / Rattle Run (EB),42.8662926,-82.5995708,0,12267,standard
4424,Plymouth / Burt (EB),42.371703,-83.24579,0,4424,standard
11147,Garfield / Hans (NB),42.5415244,-82.9496956,0,11147,standard
305,Michigan / Second (WB),42.2819922,-83.3812952,0,305,standard
5888,Nine Mile / Columbus (WB),42.4643885,-82.9732561,0,5888,standard
717,Grand River / Plymouth NS (EB),42.3738589,-83.1519771,0,717,standard
11060,Walton / Patrick Henry (WB),42.6790123,-83.2270145,0,11060,standard
8392,Telegraph / Twelve Mile (NB),42.5013626,-83.2848429,0,8392,standard
13704,Grand Blvd / Henry Ford Hospital (EB),42.3661781,-83.0837148,0,13704,standard
1222,Gratiot / Stephens (NB),42.4723343,-82.9525924,0,1222,standard
13637,Franklin / Mapletree (NB),42.4969132,-83.3038491,0,13637,standard
5293,Seven Mile / Yonka (EB),42.4329992,-83.066082,0,5293,standard
9043,Dix / Cicotte (NB),42.2628278,-83.1866097,0,9043,standard
852,Woodward / Nakota (NB),42.5272031,-83.1948924,0,852,standard
5879,Nine Mile / Lambrecht (WB),42.4651167,-82.9413486,0,5879,standard
5783,Nine Mile / Rensselaer (EB),42.4598929,-83.1693792,0,5783,standard
1632,Van Dyke / Ford (SB),42.4600353,-83.0267286,0,1632,standard
5208,Seven Mile / Lathers (EB),42.4273054,-83.3246899,0,5208,standard
2096,Joy / Meyers (WB),42.3588135,-83.1679201,0,2096,standard
11987,Dixie / Maybee (NB),42.718169,-83.4155202,0,11987,standard
7763,Ford / Farmington (EB),42.3247774,-83.3694506,0,7763,standard
1044,Woodward / Buena Vista (SB),42.4008176,-83.0940467,0,1044,standard
12811,Commerce / Dow Ridge W (WB),42.5974185,-83.3805657,0,12811,standard
764,Woodward / Witherell (NB),42.3362583,-83.0501926,0,764,downtown
6663,Twelve Mile / Autumn (SB),42.4998677,-83.3345389,0,6663,standard
7529,Avon / Rochester (EB),42.6662176,-83.1328583,0,7529,standard
2000,Ecorse / Weddel (EB),42.2562372,-83.2346106,0,2000,standard
8962,Greenfield / Bank of America (SB),42.4759112,-83.2020807,0,8962,standard
12068,Lapeer / Scripps (NB),42.752338,-83.2463694,0,12068,standard
11913,Pontiac Trail / Old Plank (WB),42.523309,-83.5769248,0,11913,standard
2543,Fourteenth / Pasadena (SB),42.3974464,-83.1176019,0,2543,standard
2741,Maple / Farmington (EB),42.5422833,-83.3791065,0,2741,standard
12579,Conner / Frankfort (NB),42.3905966,-82.9791677,0,12579,standard
3740,Harper / Deanhurst (NB),42.5456981,-82.8773832,0,3740,standard
357,Michigan / Middlebelt (EB),42.2893102,-83.3290672,0,357,standard
10563,Eureka / James (WB),42.199466,-83.1876397,0,10563,standard
7969,Wayne / Avalon (NB),42.2648445,-83.38902,0,7969,standard
13575,Town Center / 52-4 District Court (SB),42.5647486,-83.1575346,0,13575,standard
12928,Cadieux / Warren (NB),42.4063276,-82.9298526,0,12928,standard
7503,Auburn / Greenwood (EB),42.6341482,-83.2029605,0,7503,standard
2226,Joy / Lahser (EB),42.3571803,-83.2553172,0,2226,standard
561,Grand River / Seven Mile (WB),42.4288576,-83.2876325,0,561,standard
12436,Six Mile / Fulton Pines (WB),42.4129461,-83.3276939,0,12436,standard
7681,Avon / Dequindre (WB),42.6717081,-83.0971742,0,7681,standard
8318,Pardee / Clinton (NB),42.2233851,-83.2542014,0,8318,standard
9564,Hayes / Outer Dr (NB),42.4149422,-82.9646194,0,9564,standard
9197,Schaefer / Grand River (SB),42.3844433,-83.1785041,0,9197,standard
4698,Plymouth / Glastonbury (WB),42.3722103,-83.2242894,0,4698,standard
7706,Auburn / Crooks (WB),42.6351585,-83.1707954,0,7706,standard
5029,McNichols / Log Cabin (EB),42.4173897,-83.1217325,0,5029,standard
5474,Seven Mile / Westbrook (WB),42.4293486,-83.2524848,0,5474,standard
13440,Grosse Ile Pkwy / Jefferson (EB),42.1277977,-83.1852365,0,13440,standard
7337,Maple / Apple Blossom (EB),42.5410818,-83.4221506,0,7337,standard
2306,Lafayette / Fifth (EB),42.3276132,-83.0570966,0,2306,downtown
10366,Northline / Gateway Church (WB),42.2136596,-83.2054067,0,10366,standard
3857,Kercheval / Rivard (WB),42.3923081,-82.9104066,0,3857,standard
434,Larned / Randolph (EB),42.3306034,-83.0422103,0,434,downtown
549,Grand River / Pierson (WB),42.4122411,-83.2467127,0,549,standard
12668,Dodge Park / Brougham (SB),42.5584149,-83.0100024,0,12668,standard
8584,Outer Dr / Military Rd (NB),42.3354851,-83.2614756,0,8584,standard
7039,Fourteen Mile / Janet (EB),42.5390423,-82.9394817,0,7039,standard
6943,Fourteen Mile / Wing Lake (EB),42.5299032,-83.2924819,0,6943,standard
11897,Pontiac Trail / Mirror Lake (WB),42.5716031,-83.3812308,0,11897,standard
