shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0104,42.4796718,-82.9486599,338,11848.541099287708
0104,42.4796735,-82.9489286,339,11870.57749890709
0104,42.4796719,-82.949238,340,11895.951442994876
0104,42.4796705,-82.9496097,341,11926.434269082074
0104,42.4796698,-82.9498071,342,11942.622864877043
0104,42.4796659,-82.9508873,343,12031.209132464652
0104,42.4796646,-82.9512337,344,12059.617125385214
0104,42.4796628,-82.9517389,345,12101.048130140232
0104,42.4796601,-82.9524797,346,12161.800517418293
0104,42.4796592,-82.952721,347,12181.589340214361
0104,42.4796574,-82.9528445,348,12191.719326079508
0104,42.4796418,-82.9538961,349,12277.976567854626
0104,42.4796324,-82.9550226,350,12370.364709632062
0104,42.4796318,-82.9550901,351,12375.900665112225
0104,42.47963,-82.9552261,352,12387.05557619492
0104,42.4796173,-82.9561904,353,12466.148701241358
0104,42.4796103,-82.9569967,354,12532.276512635606
0104,42.4796083,-82.9572256,355,12551.049513554017
0104,42.4796084,-82.9573399,356,12560.423060870948
0104,42.4796093,-82.9583552,357,12643.686076560836
0104,42.4795894,-82.9596059,358,12746.277651227578
0104,42.4795801,-82.9606818,359,12834.516399318754
0104,42.4795794,-82.9607669,360,12841.495736951303
0104,42.4795769,-82.9608693,361,12849.897983633857
0104,42.4795764,-82.9609823,362,12859.165085129816
0104,42.4795719,-82.9621079,363,12951.474955786207
0104,42.4795614,-82.9631371,364,13035.88595760649
0104,42.4795618,-82.9633746,365,13055.362977637513
0104,42.4795539,-82.9641452,366,13118.564675912823
0104,42.4795512,-82.9645013,367,13147.769375975138
0104,42.4795504,-82.9646122,368,13156.864532110872
0104,42.4795509,-82.9651712,369,13202.707208829905
0104,42.4795506,-82.965349,370,13217.288323756804
0104,42.4795504,-82.9654797,371,13228.006832436313
0104,42.4795514,-82.965865,372,13259.604828228501
0104,42.4795494,-82.9661369,373,13281.903995671348
0104,42.4795505,-82.9662256,374,13289.179160771931
0104,42.4795482,-82.9665154,375,13312.946544346263
0104,42.4795449,-82.9668777,376,13342.66042134301
0104,42.4795428,-82.9671108,377,13361.77798566909
0104,42.4795313,-82.9673177,378,13378.79362521578
0104,42.4795105,-82.9676902,379,13409.42916384957
0104,42.4794755,-82.9683435,380,13463.146406519523
0104,42.4794708,-82.9684318,381,13470.406583316722
0104,42.4794098,-82.9695642,382,13563.520331858566
0104,42.4793992,-82.9697472,383,13578.574100895368
0104,42.4793481,-82.9706283,384,13651.054886690523
0104,42.4793387,-82.9707898,385,13664.340452235072
0104,42.4790679,-82.9751306,386,14021.595337043787
0104,42.4790208,-82.9759272,387,14087.133278606321
